time,value
141,-0.791576444
142,-0.764057044
143,-0.837657621
144,-0.775050037
145,-0.862744555
146,-0.849997551
147,-0.859124789
148,-0.93685198
149,-0.952412584
150,-0.94679137
151,-0.913952071
152,-0.936913839
153,-0.994163611
154,-1.126472642
155,-1.123351741
156,-0.562784886
157,-0.606503437
158,-0.60831332
159,-0.699731368
160,-0.896326166
161,-0.963128208
162,-0.917328391
163,-1.025344682
164,-1.102616908
165,-1.216926882
166,-1.301450612
167,-1.211431383
168,-0.623586578
169,-0.779525856
170,-1.025606087
171,-1.184967581
172,-1.50094681
173,-1.478362184
174,-1.517954123
175,-1.538369683
176,-1.498117247
177,-1.613586584
178,-1.612916109
179,-0.960583996
180,-1.091983097
181,-1.336482923
182,-1.486032736
183,-1.722454937
184,-1.539529046
185,-1.163687987
186,-1.355016763
187,-1.222759614
188,-1.267621565
189,-1.421335904
190,-1.331350598
191,-1.331877399
192,-1.39717686
193,-1.442844977
194,-1.394349292
195,-1.428210267
196,-1.468873768
197,-1.524217875
198,-0.127329434
199,-0.206150137
200,-0.162351767
201,-0.144628084
202,-0.458134937
203,-0.586744384
204,-0.539082802
205,-0.821037428
206,-0.663902868
207,-0.456690224
208,-0.749757571
209,-0.97118987
210,-1.130006603
211,-1.165499865
212,-1.199504513
213,-1.462751694
214,-1.114018971
215,-1.409937832
216,-1.412388258
217,-1.455685767
218,-2.069509477
219,-2.118322441
220,-2.054619349
221,-2.047962491
222,-2.051538357
223,-2.260740476
224,-2.444386729
225,-2.151860151
226,-2.369405292
227,-2.49933773
228,-2.478982033
229,-2.608467488
230,-2.366723393
231,-2.69854259
232,-0.855159808
233,-0.803968256
234,-0.215760277
235,-0.600750524
236,-0.57083657
237,-0.379970741
238,-0.663206453
239,-0.626154736
240,-0.814673903
241,-0.757537873
242,-1.033747568
243,-0.844506043
244,-1.080700761
245,-1.104979533
246,-1.11927701
247,-1.23748412
248,-1.214899494
249,-1.263429102
250,-0.261029301
251,-0.413578292
252,-0.47981961
253,-0.556151974
254,-0.5530191
255,-0.610139167
256,-0.712051343
257,-0.833788423
258,-0.912086315
259,-0.962930658
260,-1.186815378
261,-1.301117371
262,-1.413583539
263,-1.218211959
264,-1.373536635
265,0.296179193
266,-0.052691217
267,-0.179275271
268,-0.198383804
269,-0.408509822
270,-0.457582195
271,-0.448049878
272,-0.363512179
273,-0.353365261
274,-0.48380255
275,-0.530007446
276,-0.658976076
277,-0.94501541
278,-1.052435058
279,-1.07612916
280,-1.076683899
281,-0.043909194
282,0.07145638
283,0.124389969
284,-0.256814888
285,-0.49592697
286,-0.621253884
287,-0.313254503
288,-0.486863587
289,-0.450310735
290,-0.501033354
291,-0.690502362
292,-1.010135279
293,-1.292177706
294,-1.242798032
295,-1.482885894
296,-1.578759806
297,-1.656051986
298,-1.617701224
299,0.991405733
300,0.997188579
301,0.732901763
302,0.655609582
303,0.810804554
304,0.914993551
305,0.394657182
306,0.25167443
307,0.035681758
308,0.091333165
309,0.174583792
310,-0.066404024
311,-0.028584054
312,-0.228642972
313,-0.014009208
314,-0.340560389
315,-0.438810894
316,-0.156680668
317,-0.559845572
318,-1.017015628
319,-0.9041803
320,-0.850047438
321,-1.063384152
322,-1.25954793
323,-1.414559319
324,-1.464094639
325,-1.598016003
326,-1.725094931
327,-1.810835893
328,-1.615370526
329,-1.61907011
330,-1.91062889
331,-1.917738717
332,-2.012012269
333,-2.01500546
334,-0.832988243
335,-0.878207381
336,-0.8466352
337,-0.645488756
338,-0.864203237
339,-0.901083344
340,-0.942884258
341,-1.03016372
342,-1.111355031
343,-1.314423103
344,-1.383001106
345,-1.488768513
346,-1.436898504
347,-1.551894917
348,-1.505949431
349,-1.37819005
350,-0.350972704
351,-0.477011997
352,-0.499881974
353,-0.781104266
354,-0.81385776
355,-0.866931032
356,-0.74905916
357,-0.850185125
358,-1.065746778
359,-1.122399906
360,-1.275974564
361,-1.372034053
362,-1.432973432
363,-1.342698784
364,-1.48940706
365,-1.50181284
366,-1.462564121
367,-1.294007544
368,-0.89344472
369,-0.774100198
370,-0.99859952
371,-1.09862
372,-1.187312248
373,-1.385828674
374,-1.475325093
375,-1.620325255
376,-1.81565094
377,-1.871956859
378,-1.837950215
379,-1.952349985
380,-2.002928931
381,-1.783254633
382,-0.572041829
383,-0.830465981
384,-1.003252935
385,-0.852529791
386,-1.170951464
387,-1.256335238
388,-1.32514671
389,-1.396510376
390,-1.408363414
391,-1.326559496
392,-1.334972359
393,-1.186324495
394,-1.072473476
395,-0.981380689
396,-0.946763434
397,-0.651544979
398,-0.209338884
399,-0.475768825
400,-0.582077001
401,-0.784630245
402,-0.799452528
403,-0.903719348
404,-0.877489015
405,-0.950622655
406,-1.010294916
407,-0.797604731
408,-0.598387898
409,-0.864761966
410,-1.181848676
411,-1.17701567
412,-1.309981208
413,-1.415281676
414,-1.405891038
415,-1.445207603
416,-1.609813168
417,0.137773525
418,0.032201674
419,-0.00944958
420,-0.149447122
421,-0.6393587
422,-0.965945799
423,-1.052307349
424,-1.280111154
425,-1.566182416
426,-1.85719843
427,-2.025934599
428,-2.094564484
429,-2.056886192
430,-2.030424386
431,-2.089948983
432,-1.944250409
433,-1.992885777
434,-2.123151456
435,-2.073254957
436,-1.793940326
437,-2.151632668
438,-2.173012036
439,-2.23718007
440,-0.7069709
441,-0.867220374
442,-0.682692128
443,-1.086439707
444,-1.045959788
445,-1.174247966
446,-1.251685815
447,-1.319200237
448,-1.355495674
449,-1.403229093
450,-1.506498182
451,-1.500629532
452,-1.585145281
453,-1.592564404
454,-1.666376501
455,-1.706032294
456,-1.777549611
457,0.28460153
458,0.157694211
459,0.04441589
460,-0.017924302
461,-0.111429602
462,-0.218903128
463,-0.110040761
464,-0.256351941
465,-0.307595376
466,-0.315523342
467,-0.40044816
468,-0.457965323
469,-0.527090082
470,-0.547451765
471,-0.679768778
472,-0.870265447
473,-0.902220757
474,-0.755542412
475,-0.051747364
476,-0.18674029
477,-0.307381861
478,-0.473152776
479,-0.500861745
480,-0.280351349
481,0.103451599
482,-0.158414723
483,-0.63137087
484,-1.08543599
485,-1.267120704
486,-1.334108325
487,-1.240591052
488,-1.610926635
489,-1.654086457
490,-1.652895167
491,0.000900875
492,-0.281600507
493,-0.198339904
494,-0.141421379
495,0.006148937
496,-0.19018246
497,-0.393745407
498,-0.534844443
499,-0.745974178
500,-0.939434106
501,-0.940998548
502,-1.199578346
503,-1.385279923
504,-1.592265085
505,-1.71025868
506,-1.674424194
507,-1.637300641
508,-1.81673248
509,-0.512802582
510,-0.584720987
511,-0.678765061
512,-0.622726534
513,-0.673650695
514,-0.684703552
515,-0.957187721
516,-1.05099234
517,-1.008538911
518,-0.959364769
519,-0.992541301
520,-1.223865099
521,-1.483330882
522,-1.443768875
523,-1.681093024
524,1.195036526
525,1.183181493
526,1.07022045
527,1.010779663
528,0.900061518
529,0.805450733
530,0.73944887
531,0.731604713
532,0.644125705
533,0.527267527
534,0.415697321
535,0.385128856
536,0.337207864
537,0.24749394
538,0.159705635
539,0.097457234
540,0.721691264
541,0.821011336
542,0.904062417
543,1.173226139
544,1.269159914
545,1.124185693
546,0.69108289
547,0.627018619
548,0.795928393
549,0.7763629
550,0.988488369
551,0.934513149
552,0.71652302
553,0.871284977
554,0.501510119
555,0.590074657
556,0.462901942
557,0.48787713
558,0.605082518
559,0.552150924
560,0.772719188
561,0.65694255
562,0.612258196
563,0.516314443
564,0.692671277
565,0.609783824
566,0.469455036
567,0.289031453
568,-0.093586191
569,-0.314775044
570,1.244771392
571,1.178228759
572,1.332741283
573,1.44217036
574,1.513452213
575,1.517606762
576,1.248662541
577,0.934110066
578,1.310266408
579,1.489171445
580,1.270427032
581,1.04519338
582,0.744329767
583,0.54252083
584,0.422248419
585,0.302057821
586,0.328789015
587,0.075704716
588,0.206030259
589,0.671509414
590,1.082985413
591,0.80637064
592,0.573230972
593,0.536877667
594,0.739997622
595,0.649419663
596,0.58943611
597,0.309530822
598,0.385502007
599,0.290763513
600,0.042338615
601,-0.035161093
602,0.229746311
603,0.441945613
604,0.537384514
605,0.70383588
606,0.563401332
607,0.725769986
608,0.746674434
609,0.864470478
610,0.945252719
611,1.019056834
612,1.006445522
613,0.841193427
614,1.609974649
615,1.29263252
616,1.074768105
617,1.185166977
618,0.991154305
619,0.821131064
620,1.20224413
621,1.238749091
622,1.37459807
623,1.407237823
624,1.405463858
625,1.275547385
626,0.947208271
627,0.771591753
628,0.596982943
629,0.554661214
630,0.69816478
631,0.70573955
632,0.766537251
633,0.66347968
634,0.710067704
635,0.950724273
636,1.027713143
637,1.19782618
638,1.081646459
639,0.882806768
640,0.983419899
641,1.048342217
642,1.14724923
643,1.121254361
644,0.96918029
645,0.72234777
646,0.714334
647,0.605124423
648,0.282538223
649,0.628132087
650,0.897904424
651,0.691513909
652,0.537560114
653,0.653161152
654,0.799119135
655,0.772268214
656,0.960510013
657,1.27095982
658,1.333142371
659,1.059933849
660,1.121737263
661,0.733091332
662,0.525180275
663,0.505654691
664,0.367588755
665,0.441131465
666,1.54706176
667,0.94181454
668,1.198959602
669,1.392206016
670,1.335918057
671,1.31891673
672,1.38815124
673,1.515764952
674,1.73875371
675,1.707117674
676,1.596327692
677,1.783777293
678,1.616100714
679,1.268966355
680,1.204119864
681,1.233353365
682,1.342155867
683,1.33303262
684,1.158779002
685,1.071333917
686,1.114817004
687,1.078794945
688,0.920708551
689,0.644486884
690,0.696686144
691,0.925998518
692,0.91637441
693,0.995865588
694,1.116988066
695,1.260188322
696,1.286352805
697,1.05913367
698,0.934848386
699,0.783151458
700,1.309198836
701,1.30230851
702,0.989446191
703,1.045618413
704,1.591211331
705,1.750700534
706,1.996383669
707,1.781352808
708,1.496849978
709,1.490516386
710,1.187677266
711,1.07509137
712,1.240982012
713,1.38485873
714,0.995889534
715,0.842021544
716,0.831908548
717,0.779852961
718,0.608373033
719,1.221135158
720,1.510435076
721,1.129936611
722,0.648074722
723,0.693168146
724,1.137036461
725,1.523924391
726,1.414625019
727,1.440226782
728,1.414245881
729,1.183301221
730,0.941513226
731,0.751569299
732,0.643808427
733,0.764278389
734,0.720579792
735,0.531256454
736,0.884728396
737,0.847776453
738,0.908129166
739,0.787719068
740,1.014858384
741,1.121653453
742,1.013016574
743,0.845280131
744,0.784859572
745,0.766271854
746,0.69749231
747,0.677018882
748,0.576214186
749,0.465388287
750,1.412296316
751,1.247269709
752,1.283265827
753,1.160594872
754,1.197049946
755,1.514946813
756,1.570959399
757,1.533462694
758,1.15251126
759,1.007814408
760,1.002947479
761,0.846289834
762,0.812568541
763,0.676990945
764,1.344478584
765,1.260715124
766,1.267940688
767,1.417300932
768,1.445454889
769,1.293227168
770,1.256103614
771,1.331089042
772,1.531423333
773,1.510892036
774,1.153303458
775,0.917469918
776,0.919184019
777,0.933271972
778,0.746630533
779,0.642898497
780,0.785112996
781,0.684863038
782,1.549468285
783,1.321909922
784,1.24021775
785,1.268040461
786,1.081766187
787,1.026603667
788,1.22042677
789,1.65050645
790,1.643320795
791,1.634273376
792,1.379024002
793,1.156216831
794,0.854900248
795,0.619789065
796,0.706098733
797,0.508113099
798,0.461014236
799,0.856510585
800,0.988023427
801,1.405022861
802,1.498613966
803,1.388819719
804,1.182600814
805,1.068823628
806,1.068428526
807,1.235897578
808,0.998407805
809,0.876425284
810,1.008297309
811,1.122216173
812,0.947713123
813,1.008009963
814,1.149843329
815,1.183760177
816,1.341261901
817,1.250815643
818,1.073185705
819,0.18410214
820,0.325570336
821,0.513965785
822,0.670204383
823,0.59233751
824,0.942083928
825,1.376896841
826,1.312533251
827,1.07097673
828,0.935371197
829,0.783839892
830,0.719977163
831,0.595743762
832,0.605337937
833,0.57962842
834,0.387335836
835,0.2491382
836,1.482760029
837,1.762651349
838,1.745023448
839,1.523068338
840,1.277900033
841,1.034655351
842,0.989330454
843,1.287957155
844,1.232768695
845,1.105917249
846,1.164763389
847,1.199578195
848,0.975068895
849,0.693649053
850,1.743305356
851,1.718134613
852,1.633636824
853,1.440442291
854,1.404719551
855,1.371054131
856,1.44353326
857,1.242346907
858,1.597760433
859,1.427940729
860,1.036948136
861,0.964732408
862,1.047502128
863,1.852245546
864,1.986198837
865,1.845500888
866,1.693610399
867,1.700492744
868,1.658083215
869,1.623517842
870,1.699794333
871,1.632321815
872,1.442296074
873,1.164066974
874,1.367891326
875,1.271943582
876,0.947661241
877,0.928285316
878,0.790564595
879,1.408788296
880,1.168295355
881,1.066053928
882,1.427910797
883,1.477212648
884,1.330739836
885,1.061284776
886,1.311838831
887,1.517024088
888,1.451778504
889,1.052961709
890,1.022832246
891,0.862756377
892,0.8010248
893,0.868529245
894,0.761694267
895,1.209052643
896,1.055272453
897,1.136038731
898,1.261774714
899,1.040083005
900,0.859222416
