time,time1,time2
81,0.487093819,-0.985952289
82,0.302681059,-0.95138093
83,0.333528263,-1.149524206
84,0.193995824,-1.048976925
85,-0.053650498,-0.827083674
86,0.152444506,-0.983164631
87,0.017442075,-1.122226301
88,-0.217383796,-1.186358417
89,0.593642312,0.808188505
90,1.274598279,0.237797996
91,0.819883322,0.082557128
92,0.638691707,-0.171277464
93,1.039265186,-0.628892508
94,1.083256412,-0.872442495
95,1.549395504,-1.116607084
96,1.792911181,-1.059788332
97,1.360959956,-0.725065739
98,1.215763548,-0.799252982
99,0.706848811,-1.182892302
100,0.563733759,-1.509892461
101,0.4228429,-1.597421356
102,0.26955719,0.155872355
103,0.531044234,-0.199880399
104,0.263572564,-0.397492882
105,0.221563581,-0.493674095
106,0.123500838,-0.403088154
107,0.580536186,-0.59941556
108,0.598831126,-0.704945507
109,0.595263088,-0.809094595
110,0.549315854,-0.816735214
111,0.412643092,-0.777733932
112,0.288843252,-0.865432441
113,0.108444534,-1.046710081
114,0.106963682,-1.178843512
115,0.105342906,-1.151896809
116,0.142066879,-1.232687032
117,0.090333243,-1.377585425
118,1.540186818,0.126459262
119,2.471602143,-0.416721143
120,2.112824847,-0.327947081
121,1.447266247,-0.110381985
122,1.137129705,-0.329553427
123,0.928291626,-0.478117482
124,1.438311172,-0.895272562
125,0.799367103,-0.736387984
126,0.528849192,-0.657441566
127,1.177526657,-1.005964766
128,0.741919943,-0.943740311
129,0.525913722,-0.979492983
130,0.730828125,-1.151822977
131,0.511041067,-1.121785305
132,0.267251375,-1.144242221
133,0.12313354,-1.216865023
134,0.093402805,-1.320164044
135,0.747417753,-0.33552185
136,0.648978967,-0.351561364
137,0.602547832,-0.42166789
138,0.611208486,-0.642451664
139,0.651829899,-0.79937271
140,0.59513191,-0.854946294
141,0.107680787,-0.791576444
142,0.012949962,-0.764057044
143,0.163568389,-0.837657621
144,-0.113246061,-0.775050037
145,-0.050615917,-0.862744555
146,-0.098469603,-0.849997551
147,-0.178266556,-0.859124789
148,-0.144448902,-0.93685198
149,-0.23400549,-0.952412584
150,-0.257885691,-0.94679137
151,-0.269406023,-0.913952071
152,-0.462272468,-0.936913839
153,-0.589308029,-0.994163611
154,-0.615587328,-1.126472642
155,-0.839569163,-1.123351741
156,0.64548089,-0.562784886
157,0.252976308,-0.606503437
158,0.003365233,-0.60831332
159,0.148086486,-0.699731368
160,0.673080713,-0.896326166
161,0.807284416,-0.963128208
162,0.228224502,-0.917328391
163,0.234862102,-1.025344682
164,0.364777746,-1.102616908
165,0.715544446,-1.216926882
166,1.050071327,-1.301450612
167,0.928743461,-1.211431383
168,0.055361224,-0.623586578
169,0.343028456,-0.779525856
170,0.82141373,-1.025606087
171,0.89715,-1.184967581
172,0.788738781,-1.50094681
173,0.662609805,-1.478362184
174,0.773111125,-1.517954123
175,0.755113521,-1.538369683
176,0.655039384,-1.498117247
177,0.7763381,-1.613586584
178,0.587922957,-1.612916109
179,0.653529381,-0.960583996
180,0.626381393,-1.091983097
181,0.926280232,-1.336482923
182,0.629261476,-1.486032736
183,0.624419555,-1.722454937
184,0.294448919,-1.539529046
185,0.188031603,-1.163687987
186,0.085730358,-1.355016763
187,0.066269393,-1.222759614
188,0.145060649,-1.267621565
189,0.204061539,-1.421335904
190,0.145223893,-1.331350598
191,-0.052775979,-1.331877399
192,-0.166620877,-1.39717686
193,-0.105305427,-1.442844977
194,-0.221333708,-1.394349292
195,-0.181511022,-1.428210267
196,-0.192932242,-1.468873768
197,-0.197625495,-1.524217875
198,0.046490685,-0.127329434
199,0.295851065,-0.206150137
200,0.690486559,-0.162351767
201,0.956827184,-0.144628084
202,1.171122262,-0.458134937
203,1.278632727,-0.586744384
204,0.730180981,-0.539082802
205,1.071797297,-0.821037428
206,0.926087838,-0.663902868
207,0.639146457,-0.456690224
208,0.662067603,-0.749757571
209,0.569674659,-0.97118987
210,0.491731685,-1.130006603
211,0.313321041,-1.165499865
212,0.259147498,-1.199504513
213,0.55988879,-1.462751694
214,0.626043246,-1.114018971
215,1.056309563,-1.409937832
216,1.265095171,-1.412388258
217,1.292855323,-1.455685767
218,1.606055597,-2.069509477
219,1.186747004,-2.118322441
220,0.961581653,-2.054619349
221,0.75141139,-2.047962491
222,0.78090892,-2.051538357
223,0.901038695,-2.260740476
224,0.548525872,-2.444386729
225,0.294626738,-2.151860151
226,0.85528094,-2.369405292
227,0.894957872,-2.49933773
228,0.521925915,-2.478982033
229,0.475340282,-2.608467488
230,-0.158036014,-2.366723393
231,0.05174946,-2.69854259
232,0.612272485,-0.855159808
233,0.87469818,-0.803968256
234,0.156662603,-0.215760277
235,1.198101177,-0.600750524
236,1.300868833,-0.57083657
237,1.032493493,-0.379970741
238,1.66726902,-0.663206453
239,1.340446653,-0.626154736
240,1.515000667,-0.814673903
241,1.314692065,-0.757537873
242,1.669475723,-1.033747568
243,1.037026417,-0.844506043
244,1.235139976,-1.080700761
245,0.994513128,-1.104979533
246,0.801541741,-1.11927701
247,0.830389211,-1.23748412
248,0.588628403,-1.214899494
249,0.466020824,-1.263429102
250,0.896120983,-0.261029301
251,0.778915016,-0.413578292
252,0.842641224,-0.47981961
253,0.922481904,-0.556151974
254,0.566322335,-0.5530191
255,0.515317466,-0.610139167
256,0.480771046,-0.712051343
257,0.319853699,-0.833788423
258,0.147663801,-0.912086315
259,-0.18139442,-0.962930658
260,-0.152975464,-1.186815378
261,-0.158761865,-1.301117371
262,-0.145912264,-1.413583539
263,-0.629955677,-1.218211959
264,-0.48412087,-1.373536635
265,0.860842882,0.296179193
266,0.897243282,-0.052691217
267,0.81475281,-0.179275271
268,0.652302139,-0.198383804
269,0.569735875,-0.408509822
270,0.488828282,-0.457582195
271,0.760987375,-0.448049878
272,0.687040954,-0.363512179
273,0.279220626,-0.353365261
274,0.882073291,-0.48380255
275,0.590721419,-0.530007446
276,0.132904834,-0.658976076
277,-0.200021677,-0.94501541
278,-0.563518461,-1.052435058
279,-0.598857778,-1.07612916
280,-0.891098744,-1.076683899
281,0.6914427,-0.043909194
282,0.745735761,0.07145638
283,0.462286627,0.124389969
284,0.80883523,-0.256814888
285,1.002066058,-0.49592697
286,1.427901479,-0.621253884
287,1.036653289,-0.313254503
288,1.3783075,-0.486863587
289,1.308217709,-0.450310735
290,1.157491425,-0.501033354
291,0.754186531,-0.690502362
292,0.89370148,-1.010135279
293,1.102102299,-1.292177706
294,0.614196427,-1.242798032
295,0.635441411,-1.482885894
296,0.436158911,-1.578759806
297,0.391785811,-1.656051986
298,0.276153979,-1.617701224
299,1.525136344,0.991405733
300,1.4970293,0.997188579
301,1.509966352,0.732901763
302,1.704395271,0.655609582
303,1.741031792,0.810804554
304,1.160773786,0.914993551
305,1.605551291,0.394657182
306,1.681068932,0.25167443
307,1.353864691,0.035681758
308,1.067710378,0.091333165
309,0.978763039,0.174583792
310,1.393203476,-0.066404024
311,1.150279557,-0.028584054
312,1.510916663,-0.228642972
313,1.08678947,-0.014009208
314,1.169638495,-0.340560389
315,1.509922626,-0.438810894
316,1.06417149,-0.156680668
317,1.791243764,-0.559845572
318,1.544550668,-1.017015628
319,1.192466359,-0.9041803
320,0.892144836,-0.850047438
321,1.013216177,-1.063384152
322,1.510295755,-1.25954793
323,1.73065708,-1.414559319
324,1.358686206,-1.464094639
325,1.28106972,-1.598016003
326,1.191737593,-1.725094931
327,1.109556117,-1.810835893
328,0.393260833,-1.615370526
329,0.141685006,-1.61907011
330,0.319734182,-1.91062889
331,0.302584862,-1.917738717
332,0.626095717,-2.012012269
333,0.665046798,-2.01500546
334,1.133593732,-0.832988243
335,1.078720573,-0.878207381
336,1.082434364,-0.8466352
337,0.561290935,-0.645488756
338,0.928055506,-0.864203237
339,0.864550843,-0.901083344
340,0.658385877,-0.942884258
341,0.643067218,-1.03016372
342,0.627459967,-1.111355031
343,0.74661028,-1.314423103
344,0.63404218,-1.383001106
345,0.713183245,-1.488768513
346,0.469935754,-1.436898504
347,0.691885789,-1.551894917
348,0.731513165,-1.505949431
349,0.27686234,-1.37819005
350,0.240578542,-0.350972704
351,0.37846397,-0.477011997
352,0.32948507,-0.499881974
353,0.812388693,-0.781104266
354,0.730326735,-0.81385776
355,0.705583674,-0.866931032
356,0.28902107,-0.74905916
357,0.252128024,-0.850185125
358,0.102232533,-1.065746778
359,-0.06447413,-1.122399906
360,-0.012332385,-1.275974564
361,0.014180119,-1.372034053
362,-0.049866745,-1.432973432
363,-0.449411207,-1.342698784
364,-0.258932199,-1.48940706
365,-0.314889762,-1.50181284
366,-0.435789114,-1.462564121
367,-0.913285294,-1.294007544
368,0.600320723,-0.89344472
369,0.400411485,-0.774100198
370,0.548024481,-0.99859952
371,0.723053651,-1.09862
372,1.043873902,-1.187312248
373,1.042973147,-1.385828674
374,0.642081926,-1.475325093
375,0.435441805,-1.620325255
376,0.311341713,-1.81565094
377,0.185451772,-1.871956859
378,-0.013510071,-1.837950215
379,-0.007939384,-1.952349985
380,0.041269806,-2.002928931
381,-0.498678699,-1.783254633
382,0.897345309,-0.572041829
383,1.097653912,-0.830465981
384,0.911946864,-1.003252935
385,0.462330353,-0.852529791
386,0.993621118,-1.170951464
387,1.019801306,-1.256335238
388,0.940604855,-1.32514671
389,0.870716203,-1.396510376
390,0.765097614,-1.408363414
391,0.480826432,-1.326559496
392,0.378376518,-1.334972359
393,0.033623594,-1.186324495
394,0.035311416,-1.072473476
395,0.109187875,-0.981380689
396,0.35262776,-0.946763434
397,0.032276835,-0.651544979
398,0.452553229,-0.209338884
399,0.737596903,-0.475768825
400,0.791298207,-0.582077001
401,0.8497773,-0.784630245
402,0.461575351,-0.799452528
403,0.348112327,-0.903719348
404,0.098970577,-0.877489015
405,-0.056600543,-0.950622655
406,0.241368524,-1.010294916
407,0.1231452,-0.797604731
408,-0.350736301,-0.598387898
409,0.038211904,-0.864761966
410,0.028834144,-1.181848676
411,-0.616246133,-1.17701567
412,-0.519183257,-1.309981208
413,-0.214719428,-1.415281676
414,-0.297722952,-1.405891038
415,-0.59917552,-1.445207603
416,-0.527170531,-1.609813168
417,1.52747131,0.137773525
418,1.547538609,0.032201674
419,1.179739191,-0.00944958
420,1.166793393,-0.149447122
421,1.589331877,-0.6393587
422,1.809430847,-0.965945799
423,1.426983234,-1.052307349
424,1.078740979,-1.280111154
425,0.956153805,-1.566182416
426,1.128915055,-1.85719843
427,0.992058644,-2.025934599
428,0.74749646,-2.094564484
429,0.542348852,-2.056886192
430,0.40455962,-2.030424386
431,0.403043787,-2.089948983
432,-0.062646385,-1.944250409
433,-0.06126173,-1.992885777
434,0.044371434,-2.123151456
435,-0.118924605,-2.073254957
436,-0.766418555,-1.793940326
437,-0.285578797,-2.151632668
438,-0.470402581,-2.173012036
439,-0.520632043,-2.23718007
440,1.899092376,-0.7069709
441,1.832142108,-0.867220374
442,1.288444831,-0.682692128
443,1.728403736,-1.086439707
444,1.290975107,-1.045959788
445,1.249852303,-1.174247966
446,1.194399046,-1.251685815
447,1.103626877,-1.319200237
448,0.846868066,-1.355495674
449,0.713081218,-1.403229093
450,0.662516523,-1.506498182
451,0.41391989,-1.500629532
452,0.509685563,-1.585145281
453,0.423912728,-1.592564404
454,0.486332987,-1.666376501
455,0.383160138,-1.706032294
456,0.27823825,-1.777549611
457,0.667329293,0.28460153
458,0.577102241,0.157694211
459,0.49973645,0.04441589
460,0.424384969,-0.017924302
461,0.429200654,-0.111429602
462,0.632640035,-0.218903128
463,0.362699306,-0.110040761
464,0.512271224,-0.256351941
465,0.369922833,-0.307595376
466,0.416840784,-0.315523342
467,0.332470095,-0.40044816
468,0.248411318,-0.457965323
469,0.156537255,-0.527090082
470,-0.12375778,-0.547451765
471,-0.156756301,-0.679768778
472,-0.063433452,-0.870265447
473,-0.281115834,-0.902220757
474,-0.950117124,-0.755542412
475,0.886020287,-0.051747364
476,0.71866065,-0.18674029
477,0.514096054,-0.307381861
478,0.826678335,-0.473152776
479,1.075280798,-0.500861745
480,1.30783875,-0.280351349
481,1.158672025,0.103451599
482,0.879481799,-0.158414723
483,1.079198644,-0.63137087
484,1.34053702,-1.08543599
485,1.299871881,-1.267120704
486,1.310870416,-1.334108325
487,1.018929702,-1.240591052
488,1.008499604,-1.610926635
489,0.561649488,-1.654086457
490,0.358895147,-1.652895167
491,0.152718522,0.000900875
492,0.632849919,-0.281600507
493,0.8520802,-0.198339904
494,1.213253678,-0.141421379
495,1.380645381,0.006148937
496,1.484054351,-0.19018246
497,1.349468775,-0.393745407
498,0.891494777,-0.534844443
499,1.420062873,-0.745974178
500,1.684657375,-0.939434106
501,1.089550035,-0.940998548
502,1.119703454,-1.199578346
503,0.726347673,-1.385279923
504,0.528513959,-1.592265085
505,0.425440222,-1.71025868
506,-0.411477483,-1.674424194
507,-0.960139113,-1.637300641
508,-0.750954142,-1.81673248
509,0.968738135,-0.512802582
510,1.20258163,-0.584720987
511,1.63936603,-0.678765061
512,1.50185373,-0.622726534
513,1.556930944,-0.673650695
514,1.302256403,-0.684703552
515,1.611550492,-0.957187721
516,1.687983463,-1.05099234
517,1.416203328,-1.008538911
518,1.106900494,-0.959364769
519,0.900044658,-0.992541301
520,1.068208853,-1.223865099
521,1.106177558,-1.483330882
522,0.320538739,-1.443768875
523,0.254643724,-1.681093024
524,-1.987046095,1.195036526
525,-1.944760181,1.183181493
526,-1.892991564,1.07022045
527,-2.015016131,1.010779663
528,-1.935778869,0.900061518
529,-1.919521559,0.805450733
530,-1.96738399,0.73944887
531,-2.181186422,0.731604713
532,-2.155863264,0.644125705
533,-2.188511978,0.527267527
534,-2.342733423,0.415697321
535,-2.515754114,0.385128856
536,-2.602727955,0.337207864
537,-2.688938049,0.24749394
538,-2.786607258,0.159705635
539,-2.67001054,0.097457234
540,-0.471492815,0.721691264
541,-0.517399238,0.821011336
542,-0.877336729,0.904062417
543,-1.004538448,1.173226139
544,-1.134628996,1.269159914
545,-0.800929994,1.124185693
546,-0.216442231,0.69108289
547,-0.222639656,0.627018619
548,-0.632488868,0.795928393
549,-0.886271399,0.7763629
550,-0.836826088,0.988488369
551,-0.866714237,0.934513149
552,-0.935667153,0.71652302
553,-1.25215562,0.871284977
554,-1.160261152,0.501510119
555,-0.646935924,0.590074657
556,-0.550059611,0.462901942
557,-0.511257199,0.48787713
558,-0.659660177,0.605082518
559,-0.910804575,0.552150924
560,-1.127799002,0.772719188
561,-1.213219114,0.65694255
562,-1.228424086,0.612258196
563,-0.857216959,0.516314443
564,-1.004203216,0.692671277
565,-0.918386656,0.609783824
566,-1.064900673,0.469455036
567,-1.391912519,0.289031453
568,-1.02129132,-0.093586191
569,-0.785628825,-0.314775044
570,-0.145667399,1.244771392
571,-0.676497585,1.178228759
572,-0.945700803,1.332741283
573,-0.695151077,1.44217036
574,-0.793785173,1.513452213
575,-0.658059807,1.517606762
576,-0.273218927,1.248662541
577,-0.327730618,0.934110066
578,-1.153113415,1.310266408
579,-1.544422822,1.489171445
580,-1.752144431,1.270427032
581,-1.731115162,1.04519338
582,-1.557458987,0.744329767
583,-1.589376019,0.54252083
584,-1.599896484,0.422248419
585,-1.553611103,0.302057821
586,-1.766116332,0.328789015
587,0.707344372,0.075704716
588,0.766179103,0.206030259
589,0.534113797,0.671509414
590,-0.096583556,1.082985413
591,-0.041506343,0.80637064
592,-0.115374057,0.573230972
593,-0.332050742,0.536877667
594,-0.812397855,0.739997622
595,-0.834972108,0.649419663
596,-1.09179505,0.58943611
597,-1.027430444,0.309530822
598,-1.589973607,0.385502007
599,-1.664491381,0.290763513
600,-1.499157713,0.042338615
601,-1.694831364,-0.035161093
602,-0.58521528,0.229746311
603,-0.23791459,0.441945613
604,0.613033316,0.537384514
605,0.418213779,0.70383588
606,0.007519199,0.563401332
607,-0.279028648,0.725769986
608,-0.656917102,0.746674434
609,-1.259169263,0.864470478
610,-1.512351291,0.945252719
611,-1.871638723,1.019056834
612,-2.304085508,1.006445522
613,-2.445407797,0.841193427
614,-0.724132641,1.609974649
615,-0.546185492,1.29263252
616,-0.217357561,1.074768105
617,0.082001991,1.185166977
618,0.486155169,0.991154305
619,0.741838321,0.821131064
620,0.18193329,1.20224413
621,-0.270586624,1.238749091
622,-0.407192339,1.37459807
623,-0.511146426,1.407237823
624,-0.64263329,1.405463858
625,-0.70098995,1.275547385
626,-0.574840568,0.947208271
627,-0.590992936,0.771591753
628,-0.898829493,0.596982943
629,-1.21737308,0.554661214
630,0.34617964,0.69816478
631,0.419467256,0.70573955
632,-0.051822753,0.766537251
633,0.007300569,0.66347968
634,0.098827739,0.710067704
635,-0.228869147,0.950724273
636,-0.59986056,1.027713143
637,-0.725499805,1.19782618
638,-0.470402581,1.081646459
639,-0.242607843,0.882806768
640,-0.728656819,0.983419899
641,-1.130314702,1.048342217
642,-1.272654348,1.14724923
643,-1.388224963,1.121254361
644,-1.38853979,0.96918029
645,-1.692201976,0.72234777
646,-2.067717568,0.714334
647,-1.739784561,0.605124423
648,1.198832858,0.282538223
649,0.595178551,0.628132087
650,0.434605182,0.897904424
651,0.544791675,0.691513909
652,0.729609629,0.537560114
653,0.826316867,0.653161152
654,0.878132125,0.799119135
655,0.674698574,0.772268214
656,0.308473291,0.960510013
657,-0.037594327,1.27095982
658,-0.548091943,1.333142371
659,-0.433888493,1.059933849
660,-0.461817718,1.121737263
661,-0.584903368,0.733091332
662,-0.750516882,0.525180275
663,-0.738944079,0.505654691
664,-0.383472466,0.367588755
665,-0.817659544,0.441131465
666,-1.177742789,1.54706176
667,-0.819974105,0.94181454
668,-1.091806711,1.198959602
669,-1.071033967,1.392206016
670,-1.058560409,1.335918057
671,-1.46996918,1.31891673
672,-2.073104605,1.38815124
673,-2.452960727,1.515764952
674,-2.443192348,1.73875371
675,-2.162605806,1.707117674
676,-2.353667827,1.596327692
677,-2.501225436,1.783777293
678,-2.429220448,1.616100714
679,-2.705137058,1.268966355
680,-0.68587826,1.204119864
681,-0.660523035,1.233353365
682,-0.769015876,1.342155867
683,-1.128253752,1.33303262
684,-0.885592189,1.158779002
685,-1.107606356,1.071333917
686,-1.33613569,1.114817004
687,-1.114083627,1.078794945
688,-0.367684481,0.920708551
689,0.33017594,0.644486884
690,0.347240723,0.696686144
691,-0.113371408,0.925998518
692,-0.409378637,0.91637441
693,-0.608649477,0.995865588
694,-0.678546874,1.116988066
695,-0.864227687,1.260188322
696,-0.615155899,1.286352805
697,-0.72960713,1.05913367
698,-1.079470161,0.934848386
699,-1.23522493,0.783151458
700,-0.880245962,1.309198836
701,-0.521459921,1.30230851
702,-0.139647793,0.989446191
703,-0.039203442,1.045618413
704,-0.301413423,1.591211331
705,-0.103585539,1.750700534
706,0.093895451,1.996383669
707,-0.353660109,1.781352808
708,-0.66944313,1.496849978
709,-0.411795225,1.490516386
710,0.098501252,1.187677266
711,-0.267365479,1.07509137
712,-0.678016333,1.240982012
713,-0.984479895,1.38485873
714,-0.638560946,0.995889534
715,-0.995297697,0.842021544
716,-1.728112646,0.831908548
717,-1.64637426,0.779852961
718,-1.551859149,0.608373033
719,0.971370437,1.221135158
720,0.824462887,1.510435076
721,1.082087472,1.129936611
722,1.415410431,0.648074722
723,1.078018043,0.693168146
724,0.598845701,1.137036461
725,0.493506959,1.523924391
726,0.700823375,1.414625019
727,0.490119655,1.440226782
728,0.42534694,1.414245881
729,-0.163192762,1.183301221
730,-0.330622361,0.941513226
731,0.391196968,0.751569299
732,0.505554917,0.643808427
733,-0.148069412,0.764278389
734,-0.737084269,0.720579792
735,-0.571878863,0.531256454
736,0.674471199,0.884728396
737,0.506522719,0.847776453
738,0.804660859,0.908129166
739,1.197576466,0.787719068
740,1.093485371,1.014858384
741,1.024205967,1.121653453
742,0.703895852,1.013016574
743,0.646081393,0.845280131
744,0.903560225,0.784859572
745,0.54455847,0.766271854
746,0.18741361,0.69749231
747,0.147859111,0.677018882
748,0.114245511,0.576214186
749,0.093802169,0.465388287
750,0.455923043,1.412296316
751,0.412086315,1.247269709
752,0.344879521,1.283265827
753,0.504817406,1.160594872
754,0.147042893,1.197049946
755,-0.189547853,1.514946813
756,-0.302320007,1.570959399
757,-0.190393221,1.533462694
758,0.376601244,1.15251126
759,0.417377155,1.007814408
760,0.278658019,1.002947479
761,0.158889712,0.846289834
762,-0.207332657,0.812568541
763,-0.049858,0.676990945
764,0.5923626,1.344478584
765,0.40499688,1.260715124
766,0.346984197,1.267940688
767,0.45625536,1.417300932
768,0.265376989,1.445454889
769,0.03916513,1.293227168
770,-0.023304685,1.256103614
771,-0.297300268,1.331089042
772,-0.469598023,1.531423333
773,-0.459698467,1.510892036
774,-0.371721844,1.153303458
775,-0.569986987,0.917469918
776,-0.710181146,0.919184019
777,-1.20641244,0.933271972
778,-1.332964101,0.746630533
779,-0.997985385,0.642898497
780,-1.779525625,0.785112996
781,-2.261680076,0.684863038
782,-0.640954213,1.549468285
783,-0.251248091,1.321909922
784,0.283564071,1.24021775
785,0.022966121,1.268040461
786,-0.320664503,1.081766187
787,-0.258124727,1.026603667
788,-0.27863803,1.22042677
789,-0.644210339,1.65050645
790,-0.68108298,1.643320795
791,-0.579568801,1.634273376
792,-0.581804655,1.379024002
793,-0.968557817,1.156216831
794,-1.311019501,0.854900248
795,-1.312497438,0.619789065
796,-1.431545725,0.706098733
797,-1.853361273,0.508113099
798,-2.442900842,0.461014236
799,1.843251416,0.856510585
800,1.555260612,0.988023427
801,0.851552574,1.405022861
802,0.776393486,1.498613966
803,0.888535987,1.388819719
804,1.081912568,1.182600814
805,1.044077956,1.068823628
806,1.280938542,1.068428526
807,0.926058687,1.235897578
808,0.852706939,0.998407805
809,1.210670932,0.876425284
810,0.391651718,1.008297309
811,-0.429921091,1.122216173
812,-0.069686264,0.947713123
813,-0.013740361,1.008009963
814,-0.3719842,1.149843329
815,-0.586632001,1.183760177
816,-1.008179363,1.341261901
817,-0.825722611,1.250815643
818,-0.726065328,1.073185705
819,1.135535165,0.18410214
820,0.603483568,0.325570336
821,0.362708051,0.513965785
822,0.616516817,0.670204383
823,1.023768707,0.59233751
824,0.558297165,0.942083928
825,0.002706428,1.376896841
826,-0.44063395,1.312533251
827,-0.820866115,1.07097673
828,-0.849795207,0.935371197
829,-0.672256167,0.783839892
830,-0.765036814,0.719977163
831,-0.981599812,0.595743762
832,-1.273721261,0.605337937
833,-1.623928269,0.57962842
834,-1.369860062,0.387335836
835,-1.362295472,0.2491382
836,-0.994359046,1.482760029
837,-1.321825642,1.762651349
838,-1.357847085,1.745023448
839,-0.876645859,1.523068338
840,-0.393176713,1.277900033
841,-0.387040504,1.034655351
842,-0.658616584,0.989330454
843,-1.052415455,1.287957155
844,-1.43270009,1.232768695
845,-1.633655837,1.105917249
846,-1.530477157,1.164763389
847,-1.866330392,1.199578195
848,-1.591276641,0.975068895
849,-1.668108975,0.693649053
850,-0.82292998,1.743305356
851,-1.14805578,1.718134613
852,-1.190426231,1.633636824
853,-0.957637989,1.440442291
854,-0.455594057,1.404719551
855,-0.553105853,1.371054131
856,-0.538384781,1.44353326
857,-0.551231467,1.242346907
858,-1.296272194,1.597760433
859,-1.231653977,1.427940729
860,-1.121639473,1.036948136
861,-1.460979123,0.964732408
862,-2.169246321,1.047502128
863,-0.620528361,1.852245546
864,-0.333487869,1.986198837
865,-0.501474245,1.845500888
866,-0.878715554,1.693610399
867,-0.78407218,1.700492744
868,-0.511370886,1.658083215
869,-0.304628738,1.623517842
870,-0.054542508,1.699794333
871,-0.239214708,1.632321815
872,-0.524471182,1.442296074
873,-0.428075856,1.164066974
874,-0.560413918,1.367891326
875,-0.579344341,1.271943582
876,-0.791759203,0.947661241
877,-0.789712829,0.928285316
878,-0.726036177,0.790564595
879,-0.301238519,1.408788296
880,0.03387429,1.168295355
881,0.014588228,1.066053928
882,-0.44956279,1.427910797
883,-0.375050847,1.477212648
884,-0.46074206,1.330739836
885,-0.074910058,1.061284776
886,-0.031044179,1.311838831
887,-0.350838328,1.517024088
888,-0.579562971,1.451778504
889,-0.425125811,1.052961709
890,-0.382819492,1.022832246
891,-0.576455513,0.862756377
892,-0.705382951,0.8010248
893,-0.460695419,0.868529245
894,-0.254886091,0.761694267
895,0.232582522,1.209052643
896,0.516122023,1.055272453
897,0.522436051,1.136038731
898,0.795527964,1.261774714
899,0.661630343,1.040083005
900,0.373018631,0.859222416
