Date,value
545,7.7
546,9
547,4.2
548,1.6
549,2.6
550,3.4
551,3.9
552,7
553,7.8
554,5.3
555,2.4
556,2.8
557,4
558,7.5
559,7.8
560,5.6
561,3.3
562,5
563,3.7
564,3.9
565,5.2
566,0.2
567,0.8
568,0.9
569,3.5
570,6.6
571,9.5
572,9
573,3.5
574,4.5
575,5.7
576,5.6
577,7.1
578,9.7
579,8.3
580,9.1
581,2.8
582,2.2
583,4.5
584,3.8
585,3.8
586,6.2
587,11.5
588,10.2
589,7.9
590,9
591,9.5
592,6
593,8.2
594,9.2
595,4.3
596,6.6
597,9.4
598,13.2
599,6.6
600,5.1
601,12.1
602,11.2
603,8.5
604,4.6
605,7
606,14.2
607,12.7
608,7.6
609,4
610,10
611,10.5
612,5
613,4.5
614,8.2
615,4.3
616,9.8
617,5.8
618,5
619,8.5
620,9
621,3.6
622,6.7
623,6.7
624,10.1
625,15
626,8.9
627,5.7
628,4.2
629,4
630,5.3
631,6.3
632,8.5
633,11.5
634,7.7
635,9.2
636,7.8
637,6.3
638,6.3
639,8.6
640,6.1
641,13.2
642,9.9
643,4.7
644,5.8
645,14.9
646,10.7
647,8.6
648,9.4
649,5.7
650,10.9
651,13.1
652,10.4
653,8.2
654,9.8
655,7.5
656,5.8
657,9.8
658,7.9
659,8.7
660,10
661,10.6
662,8
663,10.2
664,15.1
665,13.9
666,9.2
667,9
668,13.2
669,7
670,10.6
671,6.9
672,9.5
673,12.5
674,13.6
675,17.7
676,16
677,11.3
678,10.5
679,14.4
680,10.3
681,9
682,11.1
683,14.5
684,18
685,12.8
686,10.7
687,9.1
688,8.7
689,12.4
690,12.6
691,10.3
692,13.7
693,16
694,15.8
695,12.1
696,12.5
697,12.2
698,13.7
699,16.1
700,15.5
701,10.3
702,10.5
703,11
704,11.9
705,13
706,12.2
707,10.6
708,13
709,13
710,12.2
711,12.6
712,18.7
713,15.2
714,15.3
715,13.9
716,15.8
717,13
718,13
719,13.7
720,12
721,10.8
722,15.6
723,15.3
724,13.9
725,13
726,15.3
727,16.3
728,15.8
729,17.7
730,16.3
731,18.4
732,15
733,10.9
734,11.4
735,14.8
736,12.1
737,12.8
738,16.2
739,15.5
740,13
741,10.5
742,9.1
743,10.5
744,11.8
745,12.7
746,12.7
747,11.5
748,13.8
749,13.3
750,11.6
751,15.4
752,12.4
753,16.9
754,14.7
755,10.6
756,15.6
757,10.7
758,12.6
759,13.8
760,14.3
761,14
762,18.1
763,17.3
764,13
765,16
766,14.9
767,16.2
768,20.3
769,22.5
770,17.2
771,15.9
772,16.8
773,13.8
774,12.8
775,14
776,17.5
777,21.5
778,16.8
779,13.6
780,14.5
781,14.2
782,15.7
783,19.7
784,17.4
785,14.4
786,16.9
787,19.1
788,20.4
789,20.1
790,19.9
791,22
792,20.5
793,22.1
794,20.6
795,15
796,20.6
797,21.5
798,16.2
799,14.1
800,14.5
801,21.1
802,15.9
803,15.2
804,13.1
805,13.2
806,12.5
807,15.2
808,17.6
809,15.5
810,16.7
811,16.3
812,15.1
813,12.7
814,10
815,11.4
816,12.6
817,10.7
818,10
819,13.9
820,13.4
821,12.5
822,12.8
823,7.8
824,11.1
825,10.7
826,7.1
827,6.7
828,5.7
829,9.1
830,15.2
831,15.5
832,11.1
833,11.7
834,11.5
835,9.8
836,6.2
837,6.7
838,7.5
839,8.8
840,8
841,10.4
842,14.5
843,16.5
844,14.1
845,10.5
846,12.6
847,13
848,8.7
849,10.1
850,12
851,12.5
852,13.5
853,13.7
854,13.5
855,10.7
856,13
857,11.6
858,13
859,11.2
860,13.5
861,12.9
862,6.8
863,10
864,14.5
865,11.7
866,6.7
867,4.6
868,4.9
869,7.4
870,8.3
871,7.5
872,6.2
873,7.8
874,13.2
875,11.9
876,6.5
877,8.3
878,12.1
879,9.3
880,7.5
881,9.3
882,11
883,10.8
884,5.3
885,7.6
886,5.6
887,7.2
888,9.6
889,7
890,8.3
891,7.8
892,4.7
893,6.8
894,7.2
895,8.3
896,9.5
897,4.7
898,3
899,1.5
900,2.5
901,6.2
902,11.6
903,6.6
904,6.6
905,8
906,7.9
907,3.3
908,3.9
909,6
910,4
911,5.5
912,8.5
913,9.8
914,9.5
915,7.2
916,8.1
917,8
918,8.5
919,8.8
920,8.3
921,2.4
922,4.9
923,5.9
924,6.7
925,8.4
926,6.5
927,7.9
928,4.1
929,5.4
930,7.5
931,3.9
932,2.5
933,5.3
934,6.6
935,0
936,0.7
937,7.6
938,12.3
939,9.2
940,9.6
941,9.5
942,10
943,7.7
944,8
945,8.3
946,8.3
947,4.5
948,6.5
949,9.4
950,9.4
951,10.5
952,10.7
953,9.9
954,7.6
955,5.8
956,8.5
957,13.8
958,14.3
959,8.3
960,5.3
961,3
962,5.2
963,10.3
964,11.1
965,10.5
966,9
967,13
968,6.4
969,8.4
970,6.7
971,8.3
972,11.2
973,10
974,10.1
975,10.6
976,10.9
977,5.7
978,9.5
979,10.4
980,11.1
981,12.2
982,10.6
983,8.8
984,9.2
985,5.5
986,7.1
987,6.5
988,4.3
989,5
990,11.2
991,7.5
992,12
993,13.6
994,8.3
995,8.5
996,12.9
997,7.7
998,7.6
999,3.5
1000,10.4
1001,15.4
1002,10.6
1003,9.6
1004,9.3
1005,13.9
1006,7.7
1007,9.5
1008,7.6
1009,6.9
1010,6.8
1011,5.8
1012,6
1013,8.3
1014,9.1
1015,12.5
1016,13.2
1017,16.2
1018,12.5
1019,11.8
1020,10.6
1021,10
1022,12.2
1023,8.9
1024,10.3
1025,7.5
1026,11.6
1027,12.6
1028,12.9
1029,11.7
1030,14
1031,12.3
1032,9
1033,9.2
1034,9.8
1035,11.8
1036,10.6
1037,12.6
1038,11
1039,8.2
1040,7.5
1041,13.6
1042,14.8
1043,10.9
1044,7.7
1045,10.2
1046,10.8
1047,10.8
1048,12.5
1049,13.2
1050,8.7
1051,5.7
1052,9.8
1053,7.3
1054,10.8
1055,10
1056,16.2
1057,15
1058,14.5
1059,15.9
1060,14.9
1061,14.2
1062,15.8
1063,17.2
1064,17.6
1065,12.1
1066,11.4
1067,13
1068,13.2
1069,12
1070,15.3
1071,12.7
1072,12.1
1073,13.8
1074,10.9
1075,12
1076,16.5
1077,15
1078,11.2
1079,13.9
1080,15
1081,14.8
1082,15
1083,13.3
1084,20.4
1085,18
1086,12.2
1087,16.7
1088,13.8
1089,17.5
1090,15
1091,13.9
1092,11.1
1093,16.1
1094,20.4
1095,18
1096,19.5
1097,17.1
1098,17.1
1099,12
1100,11
1101,16.3
1102,16.1
1103,13
1104,13.4
1105,15.2
1106,12.5
1107,14.3
1108,16.5
1109,18.6
1110,18
1111,18.2
1112,11.4
1113,11.9
1114,12.2
1115,14.8
1116,13.1
1117,12.7
1118,10.5
1119,13.8
1120,18.8
1121,13.9
1122,11.2
1123,10.6
1124,14.7
1125,13.1
1126,12.1
1127,14.7
1128,11.1
1129,13
1130,15.6
1131,14.2
1132,15.5
1133,18
1134,15
1135,15.9
1136,15.5
1137,15.8
1138,16.6
1139,13.6
1140,13.8
1141,14.6
1142,15.6
1143,16.6
1144,14.3
1145,16.3
1146,18.9
1147,18.7
1148,14.5
1149,16.5
1150,14.1
1151,13.5
1152,11.7
1153,15.1
1154,11.2
1155,13.5
1156,12.6
1157,8.8
1158,10.5
1159,12.1
1160,14.5
1161,19.5
1162,14
1163,13.8
1164,10.5
1165,13.8
1166,11.4
1167,15.6
1168,11.1
1169,12.1
1170,14.2
1171,10.9
1172,14.2
1173,13.8
1174,15.1
1175,14
1176,12.1
1177,13.8
1178,16.6
1179,17.8
1180,9.4
1181,10.2
1182,7.4
1183,8.7
1184,14
1185,15.3
1186,11.1
1187,9.7
1188,10.3
1189,9.2
1190,8.2
1191,9.7
1192,12.4
1193,12.5
1194,9
1195,9.7
1196,10.1
1197,11.2
1198,12
1199,11.1
1200,10.8
1201,12.8
1202,9.8
1203,13.7
1204,11
1205,13.2
1206,13
1207,10.2
1208,13.2
1209,9.3
1210,11.1
1211,10.3
1212,8.7
1213,11.7
1214,12.5
1215,6.5
1216,9.6
1217,13.8
1218,14.7
1219,9.1
1220,4.8
1221,3.3
1222,3.5
1223,5.7
1224,5.5
1225,7
1226,9.5
1227,9.9
1228,4.9
1229,6.3
1230,4.8
1231,6.2
1232,7.1
1233,7.5
1234,9.4
1235,8.7
1236,9.5
1237,12.1
1238,9.5
1239,9.3
1240,8.5
1241,8
1242,9.8
1243,6.2
1244,7.3
1245,10.9
1246,10
1247,8.7
1248,9
1249,10.8
1250,12.4
1251,7.2
1252,7.2
1253,11.1
1254,9.3
1255,10.1
1256,3.9
1257,5
1258,8.2
1259,2.8
1260,4.3
1261,8.1
1262,11.1
1263,4.7
1264,5.3
1265,10
1266,5.6
1267,2.2
1268,7.1
1269,8.3
1270,8.6
1271,10.1
1272,8.3
1273,7.2
1274,7.7
1275,7.8
1276,9.1
1277,9.4
1278,7.8
1279,2.6
1280,2.4
1281,3.9
1282,1.3
1283,2.1
1284,7.4
1285,7.2
1286,8.8
1287,8.9
1288,8.8
1289,8
1290,0.7
1291,0.1
1292,0.9
1293,7.8
1294,7.2
1295,8
1296,4.6
1297,5.2
1298,5.8
1299,6.8
1300,8.1
1301,7.5
1302,5.4
1303,4.6
1304,6.4
1305,9.7
1306,7
1307,10
1308,10.6
1309,11.5
1310,10.2
1311,11.1
1312,11
1313,8.9
1314,9.9
1315,11.7
1316,11.6
1317,9
1318,6.3
1319,8.7
1320,8.5
1321,8.5
1322,8
1323,6
1324,8
1325,8.5
1326,7.7
1327,8.4
1328,9
1329,8.3
1330,6.8
1331,9.3
1332,6.7
1333,9
1334,7.3
1335,6.3
1336,7.9
1337,5.2
1338,9
1339,11.3
1340,9.2
1341,11.3
1342,7
1343,8
1344,4.6
1345,8.5
1346,9.5
1347,9.4
1348,10.5
1349,9.7
1350,4.9
1351,8
1352,5.8
1353,5.5
1354,10.9
1355,11.7
1356,9.2
1357,8.9
1358,11.3
1359,8.6
1360,6.2
1361,6.6
1362,9.1
1363,6.1
1364,7.5
1365,10.7
1366,6.3
1367,5.5
1368,6.7
1369,4.2
1370,11.3
1371,16.3
1372,10.5
1373,10.3
1374,7.9
1375,7.7
1376,16
1377,14.6
1378,12.5
1379,8.1
1380,12.2
1381,17.2
1382,9.4
1383,8.7
1384,5.9
1385,4.8
1386,7.4
1387,9.4
1388,9.7
1389,9.9
1390,6.5
1391,9.8
1392,18.2
1393,11.3
1394,9.1
1395,9.6
1396,13.5
1397,10.7
1398,10
1399,8.5
1400,12.6
1401,16.6
1402,11.6
1403,12.2
1404,11.2
1405,9.2
1406,9.9
1407,11.9
1408,15.6
1409,19
1410,12.8
1411,12.2
1412,12
1413,11.1
1414,11.8
1415,7.6
1416,13
1417,12.7
1418,16
1419,14.8
1420,14.2
1421,10
1422,8.8
1423,11.6
1424,8.6
1425,14.6
1426,24.3
1427,11.6
1428,10.8
1429,12
1430,11
1431,12.6
1432,10.8
1433,9.1
1434,11
1435,13
1436,12.8
1437,9.9
1438,11.6
1439,10.5
1440,15.9
1441,12.2
1442,13
1443,12.5
1444,12.5
1445,11.4
1446,12.1
1447,16.8
1448,12.1
1449,11.3
1450,10.4
1451,14.2
1452,11.4
1453,13.7
1454,16.5
1455,12.8
1456,12.2
1457,12
1458,12.6
1459,16
1460,16.4
1461,13.3
1462,15.2
1463,13.1
1464,12.7
1465,14.6
1466,11
1467,13.2
1468,12.2
1469,14.4
1470,13.7
1471,14.5
1472,14.1
1473,14.4
1474,19.7
1475,16.5
1476,15.9
1477,11.8
1478,12
1479,11.4
1480,14.4
1481,12.4
1482,15.1
1483,15.6
1484,15.2
1485,12.8
1486,13.3
1487,17.5
1488,15.4
1489,13.5
1490,16.7
1491,15.2
1492,14.9
1493,10.2
1494,13.6
1495,19
1496,15.7
1497,18
1498,14.8
1499,13.9
1500,13
1501,15.3
1502,14.3
1503,15.6
1504,16
1505,14.9
1506,11.1
1507,14.8
1508,13
1509,12.2
1510,10.9
1511,14.6
1512,16.6
1513,18.1
1514,13.4
1515,10.3
1516,13.6
1517,13.8
1518,10.3
1519,11
1520,14.3
1521,15.5
1522,14.7
1523,12.7
1524,10.7
1525,12.6
1526,9.8
1527,13.2
1528,15.2
1529,16.6
1530,21
1531,22.4
1532,17
1533,21.7
1534,21.4
1535,18.6
1536,16.2
1537,16.8
1538,17
1539,18.4
1540,17.2
1541,18.4
1542,18.8
1543,16.5
1544,13.3
1545,12.2
1546,11.3
1547,13.8
1548,16.6
1549,14
1550,14.3
1551,16.4
1552,11.9
1553,15.7
1554,17.6
1555,17.5
1556,15.9
1557,16.2
1558,16
1559,15.9
1560,16.2
1561,16.2
1562,19.5
1563,18.2
1564,21.8
1565,15.1
1566,11
1567,8.1
1568,9.5
1569,9.3
1570,10.6
1571,6.3
1572,8.6
1573,6.8
1574,8.7
1575,8.4
1576,9.3
1577,10
1578,10.5
1579,12
1580,10.1
1581,9.4
1582,10.1
1583,8
1584,10.6
1585,13.6
1586,15.4
1587,9
1588,10.4
1589,11
1590,12.1
1591,13.4
1592,11.3
1593,6.7
1594,9.8
1595,10.8
1596,7.8
1597,4.5
1598,7.6
1599,6.9
1600,7.5
1601,8.5
1602,5.5
1603,9.5
1604,7.3
1605,5.4
1606,5.5
1607,8.1
1608,11.2
1609,13.4
1610,11.6
1611,10.1
1612,4.3
1613,5.5
1614,4.4
1615,5.9
1616,5.7
1617,8.2
1618,8.2
1619,4.2
1620,6.5
1621,10
1622,8.8
1623,6.6
1624,7.8
1625,10.1
1626,7.1
1627,7.7
1628,8.5
1629,7.3
1630,6.9
1631,8.4
1632,7.1
1633,6.3
1634,0.6
1635,1.6
1636,7
1637,8.3
1638,8
1639,10.2
1640,10.6
1641,10.4
1642,11.6
1643,11
1644,10.7
1645,7.3
1646,4.2
1647,4.7
1648,5.6
1649,7.7
1650,7.5
1651,4.9
1652,5.9
1653,7.8
1654,5.8
1655,7
1656,8.4
1657,6.2
1658,7.5
1659,4.8
1660,3.3
1661,3.2
1662,7
1663,8.4
1664,0.3
1665,0.3
1666,2.1
1667,8.5
1668,1.4
1669,4.1
1670,10.3
1671,6.6
1672,6.1
1673,7
1674,5.1
1675,6.3
1676,6.9
1677,11.4
1678,10.4
1679,10.3
1680,9.2
1681,7.2
1682,7.5
1683,4
1684,5.6
1685,6.7
1686,8.4
1687,11
1688,8.4
1689,8.8
1690,8.6
1691,8.3
1692,4
1693,3.6
1694,5.7
1695,10.6
1696,6.9
1697,10
1698,9.8
1699,7.2
1700,10.5
1701,3.6
1702,5.3
1703,8.4
1704,10.3
1705,7.9
1706,8.5
1707,7.9
1708,8
1709,9.8
1710,6.7
1711,4.8
1712,9.9
1713,12.8
1714,10.9
1715,11.7
1716,11.7
1717,11
1718,8.2
1719,7.5
1720,5.4
1721,7.2
1722,9.7
1723,8.4
1724,9
1725,8.7
1726,6.6
1727,11.6
1728,13.1
1729,6.7
1730,6.5
1731,7.7
1732,8.7
1733,7.2
1734,10.5
1735,8.6
1736,7.2
1737,11.4
1738,16.2
1739,6.1
1740,9.6
1741,11.1
1742,13.6
1743,10.7
1744,14.7
1745,11.6
1746,7.3
1747,8
1748,9.6
1749,16
1750,15.1
1751,12.8
1752,6.2
1753,7.1
1754,8.4
1755,10
1756,12.7
1757,10
1758,10.2
1759,6.5
1760,9.2
1761,11.9
1762,14.7
1763,11.4
1764,6.8
1765,7.4
1766,11.2
1767,9.2
1768,12.6
1769,16
1770,17.1
1771,15.3
1772,13.3
1773,15.4
1774,13.2
1775,14.4
1776,14
1777,15.5
1778,21
1779,10
1780,9.6
1781,12
1782,12.2
1783,11.3
1784,13.2
1785,10.5
1786,10.1
1787,8.8
1788,13.7
1789,16.2
1790,16
1791,14
1792,13.7
1793,12.5
1794,12.8
1795,12.3
1796,15.2
1797,15
1798,16.4
1799,16.1
1800,14.6
1801,18.2
1802,16.4
1803,16.6
1804,14.7
1805,15.8
1806,14.1
1807,13.5
1808,13.6
1809,13.7
1810,13.6
1811,12.1
1812,12.7
1813,13.3
1814,14.2
1815,15
1816,13.7
1817,12
1818,13.1
1819,13.2
1820,13.3
1821,11.5
1822,10.8
1823,12
1824,16.3
1825,14.4
1826,12.9
1827,13.8
1828,10.6
1829,12.6
1830,13.7
1831,12.6
1832,13.1
1833,15.4
1834,11.9
1835,13.8
1836,14.4
1837,15.2
1838,12.5
1839,12.2
1840,16.1
1841,14.6
1842,11.6
1843,13.1
1844,12.8
1845,15.2
1846,13.8
1847,15
1848,13.5
1849,11.8
1850,15.3
1851,13.5
1852,15.3
1853,13.8
1854,15.8
1855,17.4
1856,15.3
1857,14.6
1858,14.8
1859,10.7
1860,11.6
1861,13.6
1862,14.4
1863,11.8
1864,15.8
1865,16
1866,11.8
1867,14.5
1868,10.7
1869,14.2
1870,19.5
1871,21.4
1872,17.9
1873,17.4
1874,12.7
1875,13.8
1876,14
1877,15
1878,14.5
1879,13.1
1880,11.4
1881,12.5
1882,12
1883,13.4
1884,14.4
1885,17.7
1886,13.9
1887,13.3
1888,14.6
1889,16.4
1890,16.8
1891,20
1892,12.5
1893,12.7
1894,11.7
1895,12.7
1896,8.6
1897,11.9
1898,16
1899,15.2
1900,13.4
1901,11.6
1902,11.1
1903,15.6
1904,17
1905,18.5
1906,17.4
1907,16.5
1908,16.2
1909,16.1
1910,13.2
1911,18
1912,12.8
1913,11.7
1914,16.7
1915,15.6
1916,10.2
1917,10.3
1918,15
1919,18
1920,13.8
1921,10.5
1922,11.8
1923,7.2
1924,11.6
1925,7.4
1926,14.2
1927,12.2
1928,9
1929,12.3
1930,19.7
1931,12.8
1932,12.4
1933,12
1934,12
1935,11.1
1936,12.7
1937,14.2
1938,11.6
1939,12
1940,11.5
1941,8.3
1942,10.5
1943,9
1944,6.9
1945,9.4
1946,11.1
1947,9.1
1948,7.7
1949,10
1950,10.4
1951,8
1952,9.8
1953,12.4
1954,12.9
1955,12.3
1956,6.9
1957,10.5
1958,11
1959,9.7
1960,11.1
1961,11.5
1962,13.4
1963,10.9
1964,12
1965,12.1
1966,10.4
1967,10
1968,9.6
1969,11.3
1970,8.5
1971,6.3
1972,8.2
1973,10.7
1974,10.3
1975,9.5
1976,10.9
1977,10.9
1978,4.3
1979,5.2
1980,11
1981,11.6
1982,10.6
1983,9.4
1984,10
1985,9.6
1986,9.5
1987,9.7
1988,9.6
1989,7
1990,7
1991,6.8
1992,6.9
1993,8
1994,7.6
1995,8.6
1996,5.7
1997,5.5
1998,5.7
1999,5.7
2000,6.6
2001,6
2002,6.9
2003,7.7
2004,8
2005,3.9
2006,0.8
2007,2.8
2008,8
2009,9.8
2010,11.4
2011,8.6
2012,5.2
2013,6.6
2014,5.7
2015,4.6
2016,5.8
2017,7
2018,4.8
2019,4.4
2020,4.4
2021,7.9
2022,10.6
2023,5
2024,7.6
2025,9.2
2026,9.7
2027,8.8
2028,6.8
2029,9.4
2030,11
2031,2.5
2032,2.1
2033,5.4
2034,6.2
2035,7.8
2036,7.4
2037,9.3
2038,9.3
2039,9.5
2040,8.5
2041,10
2042,7.7
2043,9.3
2044,9.1
2045,3.5
2046,3.6
2047,2.5
2048,1.7
2049,2.7
2050,2.9
2051,5.3
2052,7.7
2053,9.1
2054,9.4
2055,7.3
2056,8.4
2057,9.2
2058,6.6
2059,9.7
2060,12.4
2061,10.2
2062,5.9
2063,7.1
2064,7.5
2065,9.7
2066,12.2
2067,5.6
2068,5.4
2069,8.3
2070,10.6
2071,9.1
2072,11.3
2073,10.9
2074,8.9
2075,6.3
2076,9
2077,6.1
2078,9.1
2079,9.6
2080,6
2081,10
2082,11
2083,6.2
2084,8.3
2085,11.3
2086,11.3
2087,6.7
2088,6.6
2089,11.4
2090,6.9
2091,10.6
2092,8.6
2093,11.3
2094,12.5
2095,9.9
2096,6.9
2097,5.5
2098,7.8
2099,11
2100,16.2
2101,9.9
2102,8.7
2103,10.5
2104,12.2
2105,10.6
2106,8.3
2107,5.5
2108,9
2109,6.4
2110,7.2
2111,12.9
2112,12
2113,7.3
2114,9.7
2115,8.4
2116,14.7
2117,9.5
2118,7.9
2119,6.8
2120,12.6
2121,5.2
2122,7.5
2123,8.7
2124,7.6
2125,9
2126,7.2
2127,10.7
2128,13.1
2129,13.9
2130,10.8
2131,10.4
2132,9.1
2133,16
2134,21
2135,16.2
2136,8.6
2137,9.2
2138,12.5
2139,9.7
2140,12.5
2141,10.3
2142,12
2143,11
2144,14.8
2145,15
2146,15.3
2147,10.3
2148,10.7
2149,10.5
2150,8.9
2151,8.1
2152,11.5
2153,12.8
2154,9.1
2155,14.6
2156,11.6
2157,11.2
2158,12.6
2159,7.5
2160,11
2161,14.5
2162,18.5
2163,15.4
2164,13.1
2165,16.3
2166,20.2
2167,11.5
2168,12.4
2169,10.9
2170,12.7
2171,12.2
2172,12.4
2173,9.8
2174,8.5
2175,14.7
2176,12
2177,10.3
2178,11
2179,10.2
2180,12.6
2181,11.6
2182,9.7
2183,13.4
2184,10.5
2185,14.7
2186,14.6
2187,14.2
2188,13.2
2189,11.7
2190,17.2
2191,12.3
2192,13.8
2193,15.3
2194,15.6
2195,16.2
2196,16.3
2197,16.8
2198,11
2199,8.5
2200,13.2
2201,13
2202,12.4
2203,13
2204,16.6
2205,12
2206,12.4
2207,15
2208,11.8
2209,11.6
2210,12.2
2211,13.7
2212,11.2
2213,12.4
2214,11.5
2215,13.8
2216,15.7
2217,12.9
2218,11.5
2219,11
2220,12.7
2221,14.9
2222,16.5
2223,12.8
2224,12.7
2225,12.7
2226,11.6
2227,13.3
2228,15.2
2229,16.4
